;;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
201301;Enero de 2013;1;Andalucía;4;Almería;4001;Abla;112;10;31;31;7;24;9;8;10;18;70;6
201301;Enero de 2013;1;Andalucía;4;Almería;4002;Abrucena;67;4;13;20;6;17;7;7;7;14;34;5
201301;Enero de 2013;1;Andalucía;4;Almería;4003;Adra;2752;123;701;579;141;672;536;360;181;670;1289;252
201301;Enero de 2013;1;Andalucía;4;Almería;4004;Albánchez;28;2;6;4;2;10;4;0;4;3;19;2
201301;Enero de 2013;1;Andalucía;4;Almería;4005;Alboloduy;51;0;17;14;5;11;4;3;6;15;25;2
201301;Enero de 2013;1;Andalucía;4;Almería;4006;Albox;1024;56;274;214;65;292;123;54;109;258;504;99
201301;Enero de 2013;1;Andalucía;4;Almería;4007;Alcolea;86;7;15;29;9;16;10;10;4;25;42;5
201301;Enero de 2013;1;Andalucía;4;Almería;4008;Alcóntar;31;0;7;12;1;6;5;1;5;11;11;3
201301;Enero de 2013;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;5;0;2;1;0;1;1;0;0;1;3;1
201301;Enero de 2013;1;Andalucía;4;Almería;4010;Alhabia;131;11;33;35;8;33;11;3;22;34;59;13
201301;Enero de 2013;1;Andalucía;4;Almería;4011;Alhama de Almería;537;52;122;115;36;141;71;44;54;105;275;59
201301;Enero de 2013;1;Andalucía;4;Almería;4012;Alicún;23;0;6;6;2;6;3;0;2;3;16;2
201301;Enero de 2013;1;Andalucía;4;Almería;4013;Almería;25320;1195;6403;5011;1204;6652;4855;1269;1287;4705;14949;3110
201301;Enero de 2013;1;Andalucía;4;Almería;4014;Almócita;14;1;7;2;0;2;2;1;0;4;8;1
201301;Enero de 2013;1;Andalucía;4;Almería;4015;Alsodux;7;0;3;2;0;2;0;2;0;1;2;2
201301;Enero de 2013;1;Andalucía;4;Almería;4016;Antas;200;8;38;38;13;67;36;12;6;39;132;11
201301;Enero de 2013;1;Andalucía;4;Almería;4017;Arboleas;180;14;54;39;12;41;20;8;16;41;95;20
201301;Enero de 2013;1;Andalucía;4;Almería;4018;Armuña de Almanzora;34;1;8;7;0;10;8;3;8;6;15;2
201301;Enero de 2013;1;Andalucía;4;Almería;4019;Bacares;22;1;3;4;3;7;4;1;3;6;10;2
201301;Enero de 2013;1;Andalucía;4;Almería;4020;Bayárcal;19;3;5;7;0;2;2;0;0;9;10;0
201301;Enero de 2013;1;Andalucía;4;Almería;4021;Bayarque;14;0;3;4;1;1;5;0;1;5;7;1
201301;Enero de 2013;1;Andalucía;4;Almería;4022;Bédar;51;0;10;16;3;7;15;0;3;12;29;7
201301;Enero de 2013;1;Andalucía;4;Almería;4023;Beires;5;0;2;1;0;0;2;1;2;0;2;0
201301;Enero de 2013;1;Andalucía;4;Almería;4024;Benahadux;554;34;133;115;18;156;98;18;53;112;317;54
201301;Enero de 2013;1;Andalucía;4;Almería;4026;Benitagla;1;0;1;0;0;0;0;0;0;0;1;0
201301;Enero de 2013;1;Andalucía;4;Almería;4027;Benizalón;22;1;6;7;2;2;4;2;1;7;9;3
201301;Enero de 2013;1;Andalucía;4;Almería;4028;Bentarique;31;3;10;7;1;7;3;2;0;6;23;0
201301;Enero de 2013;1;Andalucía;4;Almería;4029;Berja;1878;115;508;466;90;393;306;310;76;553;816;123
201301;Enero de 2013;1;Andalucía;4;Almería;4030;Canjáyar;139;14;51;33;9;23;9;9;3;42;65;20
201301;Enero de 2013;1;Andalucía;4;Almería;4031;Cantoria;344;22;92;106;8;87;29;16;65;99;136;28
201301;Enero de 2013;1;Andalucía;4;Almería;4032;Carboneras;863;58;245;175;29;218;138;77;119;169;438;60
201301;Enero de 2013;1;Andalucía;4;Almería;4033;Castro de Filabres;4;0;2;0;0;1;1;1;0;1;2;0
201301;Enero de 2013;1;Andalucía;4;Almería;4034;Cóbdar;11;0;2;4;1;3;1;0;2;2;5;2
201301;Enero de 2013;1;Andalucía;4;Almería;4035;Cuevas del Almanzora;1381;55;391;308;52;359;216;186;85;328;696;86
201301;Enero de 2013;1;Andalucía;4;Almería;4036;Chercos;38;2;16;7;0;10;3;0;13;3;22;0
201301;Enero de 2013;1;Andalucía;4;Almería;4037;Chirivel;108;8;39;24;7;21;9;3;8;22;67;8
201301;Enero de 2013;1;Andalucía;4;Almería;4038;Dalías;323;21;90;68;16;77;51;24;12;85;177;25
201301;Enero de 2013;1;Andalucía;4;Almería;4041;Enix;26;0;8;10;0;5;3;2;0;6;17;1
201301;Enero de 2013;1;Andalucía;4;Almería;4043;Felix;49;2;17;13;2;10;5;2;3;15;22;7
201301;Enero de 2013;1;Andalucía;4;Almería;4044;Fines;375;24;88;85;10;93;75;8;116;63;135;53
201301;Enero de 2013;1;Andalucía;4;Almería;4045;Fiñana;259;19;74;68;22;54;22;28;36;71;96;28
201301;Enero de 2013;1;Andalucía;4;Almería;4046;Fondón;94;5;27;26;4;20;12;10;19;28;35;2
201301;Enero de 2013;1;Andalucía;4;Almería;4047;Gádor;470;42;128;95;32;105;68;38;53;105;214;60
201301;Enero de 2013;1;Andalucía;4;Almería;4048;Gallardos, Los;236;14;56;65;7;58;36;18;13;61;130;14
201301;Enero de 2013;1;Andalucía;4;Almería;4049;Garrucha;1112;57;257;207;39;328;224;37;41;196;780;58
201301;Enero de 2013;1;Andalucía;4;Almería;4050;Gérgal;97;2;31;33;4;16;11;13;3;25;49;7
201301;Enero de 2013;1;Andalucía;4;Almería;4051;Huécija;55;4;12;9;4;17;9;3;5;9;35;3
201301;Enero de 2013;1;Andalucía;4;Almería;4052;Huércal de Almería;2151;114;614;337;80;674;332;32;154;465;1331;169
201301;Enero de 2013;1;Andalucía;4;Almería;4053;Huércal-Overa;1798;105;432;378;94;505;284;147;152;348;984;167
201301;Enero de 2013;1;Andalucía;4;Almería;4054;Illar;31;4;10;5;1;7;4;0;4;6;19;2
201301;Enero de 2013;1;Andalucía;4;Almería;4055;Instinción;39;2;15;10;0;7;5;1;2;6;26;4
201301;Enero de 2013;1;Andalucía;4;Almería;4056;Laroya;18;0;5;9;0;2;2;0;6;1;11;0
