Municipios;Sexo;Periodo;Total
44001 Ababuj;Total;2024;74
44001 Ababuj;Total;2023;70
44001 Ababuj;Total;2022;72
44001 Ababuj;Total;2021;76
44001 Ababuj;Total;2020;77
44001 Ababuj;Total;2019;73
44001 Ababuj;Total;2018;76
44001 Ababuj;Total;2017;73
44001 Ababuj;Total;2016;76
44001 Ababuj;Total;2015;73
44001 Ababuj;Total;2014;65
44001 Ababuj;Total;2013;65
44001 Ababuj;Total;2012;73
44001 Ababuj;Total;2011;78
44001 Ababuj;Total;2010;77
44001 Ababuj;Total;2009;80
44001 Ababuj;Total;2008;83
44001 Ababuj;Total;2007;82
44001 Ababuj;Total;2006;84
44001 Ababuj;Total;2005;84
44001 Ababuj;Total;2004;89
44001 Ababuj;Total;2003;85
44001 Ababuj;Total;2002;88
44001 Ababuj;Total;2001;84
44001 Ababuj;Total;2000;85
44001 Ababuj;Total;1999;86
44001 Ababuj;Total;1998;86
44001 Ababuj;Total;1997;""
44001 Ababuj;Total;1996;85
44001 Ababuj;Hombres;2024;44
44001 Ababuj;Hombres;2023;43
44001 Ababuj;Hombres;2022;44
44001 Ababuj;Hombres;2021;44
44001 Ababuj;Hombres;2020;46
44001 Ababuj;Hombres;2019;45
44001 Ababuj;Hombres;2018;48
44001 Ababuj;Hombres;2017;45
44001 Ababuj;Hombres;2016;47
44001 Ababuj;Hombres;2015;45
44001 Ababuj;Hombres;2014;41
44001 Ababuj;Hombres;2013;41
44001 Ababuj;Hombres;2012;43
44001 Ababuj;Hombres;2011;48
44001 Ababuj;Hombres;2010;49
44001 Ababuj;Hombres;2009;52
44001 Ababuj;Hombres;2008;52
44001 Ababuj;Hombres;2007;51
44001 Ababuj;Hombres;2006;51
44001 Ababuj;Hombres;2005;49
44001 Ababuj;Hombres;2004;53
44001 Ababuj;Hombres;2003;49
44001 Ababuj;Hombres;2002;51
44001 Ababuj;Hombres;2001;48
44001 Ababuj;Hombres;2000;48
44001 Ababuj;Hombres;1999;49
44001 Ababuj;Hombres;1998;48
44001 Ababuj;Hombres;1997;""
44001 Ababuj;Hombres;1996;50
44001 Ababuj;Mujeres;2024;30
44001 Ababuj;Mujeres;2023;27
44001 Ababuj;Mujeres;2022;28
44001 Ababuj;Mujeres;2021;32
44001 Ababuj;Mujeres;2020;31
44001 Ababuj;Mujeres;2019;28
44001 Ababuj;Mujeres;2018;28
44001 Ababuj;Mujeres;2017;28
44001 Ababuj;Mujeres;2016;29
44001 Ababuj;Mujeres;2015;28
44001 Ababuj;Mujeres;2014;24
44001 Ababuj;Mujeres;2013;24
44001 Ababuj;Mujeres;2012;30
44001 Ababuj;Mujeres;2011;30
44001 Ababuj;Mujeres;2010;28
44001 Ababuj;Mujeres;2009;28
44001 Ababuj;Mujeres;2008;31
44001 Ababuj;Mujeres;2007;31
44001 Ababuj;Mujeres;2006;33
44001 Ababuj;Mujeres;2005;35
44001 Ababuj;Mujeres;2004;36
44001 Ababuj;Mujeres;2003;36
44001 Ababuj;Mujeres;2002;37
44001 Ababuj;Mujeres;2001;36
44001 Ababuj;Mujeres;2000;37
44001 Ababuj;Mujeres;1999;37
44001 Ababuj;Mujeres;1998;38
44001 Ababuj;Mujeres;1997;""
44001 Ababuj;Mujeres;1996;35
44002 Abejuela;Total;2024;57
44002 Abejuela;Total;2023;55
44002 Abejuela;Total;2022;56
44002 Abejuela;Total;2021;57
44002 Abejuela;Total;2020;50
44002 Abejuela;Total;2019;48
44002 Abejuela;Total;2018;49
44002 Abejuela;Total;2017;50
44002 Abejuela;Total;2016;56
44002 Abejuela;Total;2015;54
44002 Abejuela;Total;2014;41
44002 Abejuela;Total;2013;39
44002 Abejuela;Total;2012;55
44002 Abejuela;Total;2011;66
44002 Abejuela;Total;2010;56
44002 Abejuela;Total;2009;57
44002 Abejuela;Total;2008;61
44002 Abejuela;Total;2007;68
44002 Abejuela;Total;2006;61
44002 Abejuela;Total;2005;65
44002 Abejuela;Total;2004;68
44002 Abejuela;Total;2003;59
44002 Abejuela;Total;2002;47
44002 Abejuela;Total;2001;51
44002 Abejuela;Total;2000;58
44002 Abejuela;Total;1999;63
44002 Abejuela;Total;1998;61
44002 Abejuela;Total;1997;""
44002 Abejuela;Total;1996;70
44002 Abejuela;Hombres;2024;37
44002 Abejuela;Hombres;2023;35
44002 Abejuela;Hombres;2022;34
44002 Abejuela;Hombres;2021;36
44002 Abejuela;Hombres;2020;31
44002 Abejuela;Hombres;2019;31
44002 Abejuela;Hombres;2018;31
44002 Abejuela;Hombres;2017;31
44002 Abejuela;Hombres;2016;34
44002 Abejuela;Hombres;2015;34
44002 Abejuela;Hombres;2014;27
44002 Abejuela;Hombres;2013;28
44002 Abejuela;Hombres;2012;35
44002 Abejuela;Hombres;2011;39
44002 Abejuela;Hombres;2010;34
44002 Abejuela;Hombres;2009;38
44002 Abejuela;Hombres;2008;41
44002 Abejuela;Hombres;2007;44
44002 Abejuela;Hombres;2006;39
44002 Abejuela;Hombres;2005;37
44002 Abejuela;Hombres;2004;38
44002 Abejuela;Hombres;2003;32
44002 Abejuela;Hombres;2002;30
44002 Abejuela;Hombres;2001;33
44002 Abejuela;Hombres;2000;40
44002 Abejuela;Hombres;1999;40
44002 Abejuela;Hombres;1998;37
44002 Abejuela;Hombres;1997;""
44002 Abejuela;Hombres;1996;39
44002 Abejuela;Mujeres;2024;20
44002 Abejuela;Mujeres;2023;20
44002 Abejuela;Mujeres;2022;22
44002 Abejuela;Mujeres;2021;21
44002 Abejuela;Mujeres;2020;19
44002 Abejuela;Mujeres;2019;17
44002 Abejuela;Mujeres;2018;18
44002 Abejuela;Mujeres;2017;19
44002 Abejuela;Mujeres;2016;22
44002 Abejuela;Mujeres;2015;20
44002 Abejuela;Mujeres;2014;14
44002 Abejuela;Mujeres;2013;11
44002 Abejuela;Mujeres;2012;20
44002 Abejuela;Mujeres;2011;27
44002 Abejuela;Mujeres;2010;22
44002 Abejuela;Mujeres;2009;19
44002 Abejuela;Mujeres;2008;20
44002 Abejuela;Mujeres;2007;24
44002 Abejuela;Mujeres;2006;22
44002 Abejuela;Mujeres;2005;28
44002 Abejuela;Mujeres;2004;30
44002 Abejuela;Mujeres;2003;27
44002 Abejuela;Mujeres;2002;17
44002 Abejuela;Mujeres;2001;18
44002 Abejuela;Mujeres;2000;18
44002 Abejuela;Mujeres;1999;23
44002 Abejuela;Mujeres;1998;24
44002 Abejuela;Mujeres;1997;""
44002 Abejuela;Mujeres;1996;31
44003 Aguatón;Total;2024;17
44003 Aguatón;Total;2023;15
44003 Aguatón;Total;2022;16
44003 Aguatón;Total;2021;17
44003 Aguatón;Total;2020;19
44003 Aguatón;Total;2019;18
44003 Aguatón;Total;2018;18
44003 Aguatón;Total;2017;19
44003 Aguatón;Total;2016;19
44003 Aguatón;Total;2015;19
44003 Aguatón;Total;2014;18
44003 Aguatón;Total;2013;19
44003 Aguatón;Total;2012;20
44003 Aguatón;Total;2011;20
44003 Aguatón;Total;2010;21
44003 Aguatón;Total;2009;21
44003 Aguatón;Total;2008;21
44003 Aguatón;Total;2007;21
44003 Aguatón;Total;2006;24
44003 Aguatón;Total;2005;23
44003 Aguatón;Total;2004;24
44003 Aguatón;Total;2003;26
44003 Aguatón;Total;2002;26
44003 Aguatón;Total;2001;25
44003 Aguatón;Total;2000;24
44003 Aguatón;Total;1999;26
44003 Aguatón;Total;1998;26
44003 Aguatón;Total;1997;""
44003 Aguatón;Total;1996;26
44003 Aguatón;Hombres;2024;7
44003 Aguatón;Hombres;2023;7
44003 Aguatón;Hombres;2022;7
44003 Aguatón;Hombres;2021;8
44003 Aguatón;Hombres;2020;7
44003 Aguatón;Hombres;2019;6
44003 Aguatón;Hombres;2018;6
44003 Aguatón;Hombres;2017;7
44003 Aguatón;Hombres;2016;7
44003 Aguatón;Hombres;2015;7
44003 Aguatón;Hombres;2014;7
44003 Aguatón;Hombres;2013;8
44003 Aguatón;Hombres;2012;8
44003 Aguatón;Hombres;2011;9
44003 Aguatón;Hombres;2010;10
44003 Aguatón;Hombres;2009;10
44003 Aguatón;Hombres;2008;9
44003 Aguatón;Hombres;2007;9
44003 Aguatón;Hombres;2006;10
44003 Aguatón;Hombres;2005;9
44003 Aguatón;Hombres;2004;10
44003 Aguatón;Hombres;2003;11
44003 Aguatón;Hombres;2002;11
44003 Aguatón;Hombres;2001;11
44003 Aguatón;Hombres;2000;10
44003 Aguatón;Hombres;1999;10
44003 Aguatón;Hombres;1998;10
44003 Aguatón;Hombres;1997;""
44003 Aguatón;Hombres;1996;11
44003 Aguatón;Mujeres;2024;10
44003 Aguatón;Mujeres;2023;8
44003 Aguatón;Mujeres;2022;9
44003 Aguatón;Mujeres;2021;9
44003 Aguatón;Mujeres;2020;12
44003 Aguatón;Mujeres;2019;12
44003 Aguatón;Mujeres;2018;12
44003 Aguatón;Mujeres;2017;12
44003 Aguatón;Mujeres;2016;12
44003 Aguatón;Mujeres;2015;12
44003 Aguatón;Mujeres;2014;11
44003 Aguatón;Mujeres;2013;11
44003 Aguatón;Mujeres;2012;12
44003 Aguatón;Mujeres;2011;11
44003 Aguatón;Mujeres;2010;11
44003 Aguatón;Mujeres;2009;11
44003 Aguatón;Mujeres;2008;12
44003 Aguatón;Mujeres;2007;12
44003 Aguatón;Mujeres;2006;14
44003 Aguatón;Mujeres;2005;14
44003 Aguatón;Mujeres;2004;14
44003 Aguatón;Mujeres;2003;15
44003 Aguatón;Mujeres;2002;15
44003 Aguatón;Mujeres;2001;14
44003 Aguatón;Mujeres;2000;14
44003 Aguatón;Mujeres;1999;16
44003 Aguatón;Mujeres;1998;16
44003 Aguatón;Mujeres;1997;""
44003 Aguatón;Mujeres;1996;15
44004 Aguaviva;Total;2024;547
44004 Aguaviva;Total;2023;565
44004 Aguaviva;Total;2022;556
44004 Aguaviva;Total;2021;547
44004 Aguaviva;Total;2020;516
44004 Aguaviva;Total;2019;514
44004 Aguaviva;Total;2018;522
44004 Aguaviva;Total;2017;531
44004 Aguaviva;Total;2016;550
44004 Aguaviva;Total;2015;586
44004 Aguaviva;Total;2014;605
44004 Aguaviva;Total;2013;654
44004 Aguaviva;Total;2012;660
44004 Aguaviva;Total;2011;693
44004 Aguaviva;Total;2010;693
44004 Aguaviva;Total;2009;713
44004 Aguaviva;Total;2008;718
44004 Aguaviva;Total;2007;703
44004 Aguaviva;Total;2006;691
44004 Aguaviva;Total;2005;701
44004 Aguaviva;Total;2004;670
44004 Aguaviva;Total;2003;675
44004 Aguaviva;Total;2002;689
44004 Aguaviva;Total;2001;651
44004 Aguaviva;Total;2000;592
44004 Aguaviva;Total;1999;611
44004 Aguaviva;Total;1998;622
44004 Aguaviva;Total;1997;""
44004 Aguaviva;Total;1996;641
44004 Aguaviva;Hombres;2024;261
44004 Aguaviva;Hombres;2023;269
44004 Aguaviva;Hombres;2022;271
44004 Aguaviva;Hombres;2021;267
44004 Aguaviva;Hombres;2020;250
44004 Aguaviva;Hombres;2019;247
44004 Aguaviva;Hombres;2018;258
44004 Aguaviva;Hombres;2017;262
44004 Aguaviva;Hombres;2016;267
44004 Aguaviva;Hombres;2015;289
44004 Aguaviva;Hombres;2014;301
44004 Aguaviva;Hombres;2013;333
44004 Aguaviva;Hombres;2012;335
44004 Aguaviva;Hombres;2011;349
44004 Aguaviva;Hombres;2010;356
44004 Aguaviva;Hombres;2009;371
44004 Aguaviva;Hombres;2008;367
44004 Aguaviva;Hombres;2007;354
44004 Aguaviva;Hombres;2006;346
44004 Aguaviva;Hombres;2005;356
44004 Aguaviva;Hombres;2004;336
44004 Aguaviva;Hombres;2003;338
44004 Aguaviva;Hombres;2002;340
44004 Aguaviva;Hombres;2001;317
44004 Aguaviva;Hombres;2000;290
44004 Aguaviva;Hombres;1999;300
44004 Aguaviva;Hombres;1998;309
44004 Aguaviva;Hombres;1997;""
44004 Aguaviva;Hombres;1996;321
44004 Aguaviva;Mujeres;2024;286
44004 Aguaviva;Mujeres;2023;296
44004 Aguaviva;Mujeres;2022;285
44004 Aguaviva;Mujeres;2021;280
44004 Aguaviva;Mujeres;2020;266
44004 Aguaviva;Mujeres;2019;267
44004 Aguaviva;Mujeres;2018;264
44004 Aguaviva;Mujeres;2017;269
44004 Aguaviva;Mujeres;2016;283
44004 Aguaviva;Mujeres;2015;297
44004 Aguaviva;Mujeres;2014;304
44004 Aguaviva;Mujeres;2013;321
44004 Aguaviva;Mujeres;2012;325
44004 Aguaviva;Mujeres;2011;344
44004 Aguaviva;Mujeres;2010;337
44004 Aguaviva;Mujeres;2009;342
44004 Aguaviva;Mujeres;2008;351
44004 Aguaviva;Mujeres;2007;349
44004 Aguaviva;Mujeres;2006;345
44004 Aguaviva;Mujeres;2005;345
44004 Aguaviva;Mujeres;2004;334
44004 Aguaviva;Mujeres;2003;337
44004 Aguaviva;Mujeres;2002;349
44004 Aguaviva;Mujeres;2001;334
44004 Aguaviva;Mujeres;2000;302
44004 Aguaviva;Mujeres;1999;311
44004 Aguaviva;Mujeres;1998;313
44004 Aguaviva;Mujeres;1997;""
44004 Aguaviva;Mujeres;1996;320
44005 Aguilar del Alfambra;Total;2024;82
44005 Aguilar del Alfambra;Total;2023;83
44005 Aguilar del Alfambra;Total;2022;81
44005 Aguilar del Alfambra;Total;2021;76
44005 Aguilar del Alfambra;Total;2020;69
44005 Aguilar del Alfambra;Total;2019;63
44005 Aguilar del Alfambra;Total;2018;63
44005 Aguilar del Alfambra;Total;2017;65
44005 Aguilar del Alfambra;Total;2016;64
44005 Aguilar del Alfambra;Total;2015;66
44005 Aguilar del Alfambra;Total;2014;77
44005 Aguilar del Alfambra;Total;2013;75
44005 Aguilar del Alfambra;Total;2012;73
44005 Aguilar del Alfambra;Total;2011;70
44005 Aguilar del Alfambra;Total;2010;67
44005 Aguilar del Alfambra;Total;2009;66
44005 Aguilar del Alfambra;Total;2008;71
44005 Aguilar del Alfambra;Total;2007;72
44005 Aguilar del Alfambra;Total;2006;75
44005 Aguilar del Alfambra;Total;2005;79
44005 Aguilar del Alfambra;Total;2004;79
44005 Aguilar del Alfambra;Total;2003;82
44005 Aguilar del Alfambra;Total;2002;82
44005 Aguilar del Alfambra;Total;2001;92
44005 Aguilar del Alfambra;Total;2000;83
44005 Aguilar del Alfambra;Total;1999;86
44005 Aguilar del Alfambra;Total;1998;84
44005 Aguilar del Alfambra;Total;1997;""
44005 Aguilar del Alfambra;Total;1996;88
44005 Aguilar del Alfambra;Hombres;2024;45
44005 Aguilar del Alfambra;Hombres;2023;43
44005 Aguilar del Alfambra;Hombres;2022;44
44005 Aguilar del Alfambra;Hombres;2021;41
44005 Aguilar del Alfambra;Hombres;2020;40
44005 Aguilar del Alfambra;Hombres;2019;36
44005 Aguilar del Alfambra;Hombres;2018;36
44005 Aguilar del Alfambra;Hombres;2017;38
44005 Aguilar del Alfambra;Hombres;2016;43
44005 Aguilar del Alfambra;Hombres;2015;41
44005 Aguilar del Alfambra;Hombres;2014;46
44005 Aguilar del Alfambra;Hombres;2013;45
44005 Aguilar del Alfambra;Hombres;2012;44
44005 Aguilar del Alfambra;Hombres;2011;42
44005 Aguilar del Alfambra;Hombres;2010;39
44005 Aguilar del Alfambra;Hombres;2009;37
44005 Aguilar del Alfambra;Hombres;2008;39
44005 Aguilar del Alfambra;Hombres;2007;38
44005 Aguilar del Alfambra;Hombres;2006;41
44005 Aguilar del Alfambra;Hombres;2005;45
44005 Aguilar del Alfambra;Hombres;2004;43
44005 Aguilar del Alfambra;Hombres;2003;43
44005 Aguilar del Alfambra;Hombres;2002;42
44005 Aguilar del Alfambra;Hombres;2001;46
44005 Aguilar del Alfambra;Hombres;2000;40
44005 Aguilar del Alfambra;Hombres;1999;40
44005 Aguilar del Alfambra;Hombres;1998;42
44005 Aguilar del Alfambra;Hombres;1997;""
44005 Aguilar del Alfambra;Hombres;1996;42
44005 Aguilar del Alfambra;Mujeres;2024;37
44005 Aguilar del Alfambra;Mujeres;2023;40
44005 Aguilar del Alfambra;Mujeres;2022;37
44005 Aguilar del Alfambra;Mujeres;2021;35
44005 Aguilar del Alfambra;Mujeres;2020;29
44005 Aguilar del Alfambra;Mujeres;2019;27
44005 Aguilar del Alfambra;Mujeres;2018;27
44005 Aguilar del Alfambra;Mujeres;2017;27
44005 Aguilar del Alfambra;Mujeres;2016;21
44005 Aguilar del Alfambra;Mujeres;2015;25
44005 Aguilar del Alfambra;Mujeres;2014;31
44005 Aguilar del Alfambra;Mujeres;2013;30
44005 Aguilar del Alfambra;Mujeres;2012;29
44005 Aguilar del Alfambra;Mujeres;2011;28
44005 Aguilar del Alfambra;Mujeres;2010;28
44005 Aguilar del Alfambra;Mujeres;2009;29
44005 Aguilar del Alfambra;Mujeres;2008;32
44005 Aguilar del Alfambra;Mujeres;2007;34
44005 Aguilar del Alfambra;Mujeres;2006;34
44005 Aguilar del Alfambra;Mujeres;2005;34
44005 Aguilar del Alfambra;Mujeres;2004;36
44005 Aguilar del Alfambra;Mujeres;2003;39
44005 Aguilar del Alfambra;Mujeres;2002;40
44005 Aguilar del Alfambra;Mujeres;2001;46
44005 Aguilar del Alfambra;Mujeres;2000;43
44005 Aguilar del Alfambra;Mujeres;1999;46
44005 Aguilar del Alfambra;Mujeres;1998;42
44005 Aguilar del Alfambra;Mujeres;1997;""
44005 Aguilar del Alfambra;Mujeres;1996;46
44006 Alacón;Total;2024;208
44006 Alacón;Total;2023;212
44006 Alacón;Total;2022;219
44006 Alacón;Total;2021;235
44006 Alacón;Total;2020;238
44006 Alacón;Total;2019;252
44006 Alacón;Total;2018;264
44006 Alacón;Total;2017;274
44006 Alacón;Total;2016;279
44006 Alacón;Total;2015;293
44006 Alacón;Total;2014;314
44006 Alacón;Total;2013;306
44006 Alacón;Total;2012;331
44006 Alacón;Total;2011;349
44006 Alacón;Total;2010;361
44006 Alacón;Total;2009;384
44006 Alacón;Total;2008;410
44006 Alacón;Total;2007;405
44006 Alacón;Total;2006;406
44006 Alacón;Total;2005;422
44006 Alacón;Total;2004;428
44006 Alacón;Total;2003;422
44006 Alacón;Total;2002;445
44006 Alacón;Total;2001;444
44006 Alacón;Total;2000;457
44006 Alacón;Total;1999;475
44006 Alacón;Total;1998;470
44006 Alacón;Total;1997;""
44006 Alacón;Total;1996;481
44006 Alacón;Hombres;2024;108
44006 Alacón;Hombres;2023;110
44006 Alacón;Hombres;2022;113
44006 Alacón;Hombres;2021;121
44006 Alacón;Hombres;2020;124
44006 Alacón;Hombres;2019;129
44006 Alacón;Hombres;2018;134
44006 Alacón;Hombres;2017;139
44006 Alacón;Hombres;2016;142
44006 Alacón;Hombres;2015;151
44006 Alacón;Hombres;2014;158
44006 Alacón;Hombres;2013;149
44006 Alacón;Hombres;2012;161
44006 Alacón;Hombres;2011;180
44006 Alacón;Hombres;2010;190
44006 Alacón;Hombres;2009;200
44006 Alacón;Hombres;2008;219
44006 Alacón;Hombres;2007;212
44006 Alacón;Hombres;2006;204
44006 Alacón;Hombres;2005;210
44006 Alacón;Hombres;2004;213
44006 Alacón;Hombres;2003;212
44006 Alacón;Hombres;2002;226
44006 Alacón;Hombres;2001;231
44006 Alacón;Hombres;2000;234
44006 Alacón;Hombres;1999;245
44006 Alacón;Hombres;1998;244
44006 Alacón;Hombres;1997;""
44006 Alacón;Hombres;1996;250
44006 Alacón;Mujeres;2024;100
44006 Alacón;Mujeres;2023;102
44006 Alacón;Mujeres;2022;106
44006 Alacón;Mujeres;2021;114
44006 Alacón;Mujeres;2020;114
44006 Alacón;Mujeres;2019;123
44006 Alacón;Mujeres;2018;130
44006 Alacón;Mujeres;2017;135
44006 Alacón;Mujeres;2016;137
44006 Alacón;Mujeres;2015;142
44006 Alacón;Mujeres;2014;156
44006 Alacón;Mujeres;2013;157
44006 Alacón;Mujeres;2012;170
44006 Alacón;Mujeres;2011;169
44006 Alacón;Mujeres;2010;171
44006 Alacón;Mujeres;2009;184
44006 Alacón;Mujeres;2008;191
44006 Alacón;Mujeres;2007;193
44006 Alacón;Mujeres;2006;202
44006 Alacón;Mujeres;2005;212
44006 Alacón;Mujeres;2004;215
44006 Alacón;Mujeres;2003;210
44006 Alacón;Mujeres;2002;219
44006 Alacón;Mujeres;2001;213
44006 Alacón;Mujeres;2000;223
44006 Alacón;Mujeres;1999;230
44006 Alacón;Mujeres;1998;226
44006 Alacón;Mujeres;1997;""
44006 Alacón;Mujeres;1996;231
44007 Alba;Total;2024;187
44007 Alba;Total;2023;187
44007 Alba;Total;2022;181
44007 Alba;Total;2021;184
44007 Alba;Total;2020;165
44007 Alba;Total;2019;170
44007 Alba;Total;2018;178
44007 Alba;Total;2017;185
44007 Alba;Total;2016;196
44007 Alba;Total;2015;210
44007 Alba;Total;2014;212
44007 Alba;Total;2013;215
44007 Alba;Total;2012;231
44007 Alba;Total;2011;230
44007 Alba;Total;2010;248
44007 Alba;Total;2009;250
44007 Alba;Total;2008;244
44007 Alba;Total;2007;250
44007 Alba;Total;2006;251
44007 Alba;Total;2005;247
44007 Alba;Total;2004;250
44007 Alba;Total;2003;250
44007 Alba;Total;2002;271
44007 Alba;Total;2001;273
44007 Alba;Total;2000;271
44007 Alba;Total;1999;275
44007 Alba;Total;1998;286
44007 Alba;Total;1997;""
44007 Alba;Total;1996;294
44007 Alba;Hombres;2024;112
44007 Alba;Hombres;2023;110
44007 Alba;Hombres;2022;105
44007 Alba;Hombres;2021;103
44007 Alba;Hombres;2020;93
44007 Alba;Hombres;2019;94
44007 Alba;Hombres;2018;98
44007 Alba;Hombres;2017;103
44007 Alba;Hombres;2016;107
44007 Alba;Hombres;2015;114
44007 Alba;Hombres;2014;113
44007 Alba;Hombres;2013;113
44007 Alba;Hombres;2012;118
44007 Alba;Hombres;2011;114
44007 Alba;Hombres;2010;124
44007 Alba;Hombres;2009;126
44007 Alba;Hombres;2008;122
44007 Alba;Hombres;2007;126
44007 Alba;Hombres;2006;124
44007 Alba;Hombres;2005;124
44007 Alba;Hombres;2004;126
44007 Alba;Hombres;2003;127
44007 Alba;Hombres;2002;141
44007 Alba;Hombres;2001;144
44007 Alba;Hombres;2000;142
44007 Alba;Hombres;1999;144
44007 Alba;Hombres;1998;145
44007 Alba;Hombres;1997;""
44007 Alba;Hombres;1996;150
44007 Alba;Mujeres;2024;75
44007 Alba;Mujeres;2023;77
44007 Alba;Mujeres;2022;76
44007 Alba;Mujeres;2021;81
44007 Alba;Mujeres;2020;72
44007 Alba;Mujeres;2019;76
44007 Alba;Mujeres;2018;80
44007 Alba;Mujeres;2017;82
44007 Alba;Mujeres;2016;89
44007 Alba;Mujeres;2015;96
