"anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","Total Contratos","Contratos iniciales indefinidos hombres","Contratos iniciales temporales hombres","Contratos convertidos en indefinidos hombres","Contratos iniciales indefinidos mujeres","Contratos iniciales temporales mujeres","Contratos convertidos en indefinidos mujeres","Contratos  Agricultura","Contratos  Industria","Contratos Construcción","Contratos  Servicios","Total Contratos_min","Cod min_mes","Total Contratos_max","Cod max_mes"
"2018","01001",16,"País Vasco",1,"Araba/Álava","Alegría-Dulantzi",53.25,1.17,31.75,2.17,2.17,15.08,0.92,2.42,4.75,2.17,43.92,27,"12",96,"09"
"2018","01002",16,"País Vasco",1,"Araba/Álava","Amurrio",714.67,6.5,541.08,8.67,7.08,148,3.33,6.83,537.75,24,146.08,438,"08",935,"05"
"2018","01003",16,"País Vasco",1,"Araba/Álava","Aramaio",18.58,0.5,6.42,0.75,0.5,9.92,0.5,0.33,2.5,0,15.75,6,"12",33,"07"
"2018","01004",16,"País Vasco",1,"Araba/Álava","Artziniega",30.42,0.92,12.5,0.67,0.83,14.92,0.58,0.17,4.83,1.75,23.67,17,"12",45,"09"
"2018","01006",16,"País Vasco",1,"Araba/Álava","Armiñón",7.58,0.42,3.25,0.42,0.17,2.67,0.67,0,6.33,0.58,0.67,2,"12",22,"08"
"2018","01008",16,"País Vasco",1,"Araba/Álava","Arratzua-Ubarrundia",57,1.83,22.17,0.33,2.42,29.83,0.42,2.83,0.5,0.5,53.17,13,"02",124,"07"
"2018","01009",16,"País Vasco",1,"Araba/Álava","Asparrena",171.42,1.08,112,1.67,1.17,54.92,0.58,5.08,47.42,0.42,118.5,106,"02",241,"10"
"2018","01010",16,"País Vasco",1,"Araba/Álava","Ayala/Aiara",89.08,2.25,44.08,1.75,3.67,36.25,1.08,1.83,22.33,2.83,62.08,44,"03",150,"10"
"2018","01011",16,"País Vasco",1,"Araba/Álava","Baños de Ebro/Mañueta",106.75,0.17,96.33,0.5,0,9.75,0,102.92,1.92,0,1.92,6,"12",569,"10"
"2018","01013",16,"País Vasco",1,"Araba/Álava","Barrundia",19.92,0.08,8.17,0.33,0.42,10.42,0.5,4.58,2.17,0.08,13.08,8,"02",49,"09"
"2018","01014",16,"País Vasco",1,"Araba/Álava","Berantevilla",43.67,0.58,25.08,2,0.67,14.75,0.58,2.58,23.92,3.42,13.75,23,"11",69,"06"
"2018","01016",16,"País Vasco",1,"Araba/Álava","Bernedo",24.33,0.25,7,0.08,0.58,16.42,0,2.58,12.25,0,9.5,8,"08",45,"10"
"2018","01017",16,"País Vasco",1,"Araba/Álava","Campezo/Kanpezu",19.17,0.5,7.17,0.42,0.33,10.58,0.17,0.75,2,2.08,14.33,7,"02",37,"12"
