"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","Total Contratos","Contratos iniciales indefinidos hombres","Contratos iniciales temporales hombres","Contratos convertidos en indefinidos hombres","Contratos iniciales indefinidos mujeres","Contratos iniciales temporales mujeres","Contratos convertidos en indefinidos mujeres","Contratos  Agricultura","Contratos  Industria","Contratos Construcción","Contratos  Servicios"
202301,"2023","16","País Vasco","01","Araba/Álava",0,10155,1162,4013,189,926,3510,160,151,2247,293,7399
202302,"2023","16","País Vasco","01","Araba/Álava",0,9163,1099,3552,122,939,3145,101,161,1858,328,6732
202303,"2023","16","País Vasco","01","Araba/Álava",0,11024,1272,4493,175,1029,3704,156,127,2191,402,8214
202304,"2023","16","País Vasco","01","Araba/Álava",0,10249,1103,3985,207,851,3786,122,162,2025,259,7734
202305,"2023","16","País Vasco","01","Araba/Álava",0,13461,1791,5619,191,1183,4418,95,1738,2458,289,8878
202306,"2023","16","País Vasco","01","Araba/Álava",0,13290,1483,5428,160,1164,4778,105,646,2479,322,9780
202307,"2023","16","País Vasco","01","Araba/Álava",0,12567,1319,5418,139,1016,4411,100,209,2354,276,9665
202308,"2023","16","País Vasco","01","Araba/Álava",0,9424,938,3895,105,716,3486,88,187,1782,232,7155
202309,"2023","16","País Vasco","01","Araba/Álava",0,16491,2379,6910,169,1953,4821,141,2831,2531,317,10757
202310,"2023","16","País Vasco","01","Araba/Álava",0,15645,1902,6709,139,1540,5125,103,1942,2320,297,11039
202311,"2023","16","País Vasco","01","Araba/Álava",0,13174,1505,5104,142,1267,4846,140,205,2045,299,10564
202312,"2023","16","País Vasco","01","Araba/Álava",0,11038,1093,4151,148,998,4366,111,149,1661,177,8999
202301,"2023","08","Castilla - La Mancha","02","Albacete",0,7654,2439,1559,226,1093,1911,179,2049,935,392,4138
202302,"2023","08","Castilla - La Mancha","02","Albacete",0,8577,2623,1904,173,1275,2179,148,2415,818,449,4752
202303,"2023","08","Castilla - La Mancha","02","Albacete",0,9704,2449,2216,233,1424,2846,150,1493,1312,525,6164
202304,"2023","08","Castilla - La Mancha","02","Albacete",0,9321,2764,1895,127,1595,2476,137,2208,860,385,5711
202305,"2023","08","Castilla - La Mancha","02","Albacete",0,13935,5193,2526,147,2831,2850,94,5751,983,474,6605
