"Cod mes","Cod anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","total Dtes Empleo","Dtes Empleo hombre edad < 25","Dtes Empleo hombre edad 25 -45","Dtes Empleo hombre edad >=45","Dtes Empleo mujer edad < 25","Dtes Empleo mujer edad 25 -45","Dtes Empleo mujer edad >=45","Dtes EmpleoAgricultura","Dtes Empleo Industria","Dtes Empleo Construcción","Dtes Empleo Servicios","Dtes Empleo Sin empleo Anterior","total Dtes Empleo_min","Cod min_mes","total Dtes Empleo_max"
201101,"2011","01001",16,"País Vasco",1,"Araba/Álava","Alegría-Dulantzi",233.33,8.5,63.58,30.83,10,90.17,30.25,4.08,49.17,16.58,150.92,12.58,202,"201101",257
201101,"2011","01002",16,"País Vasco",1,"Araba/Álava","Amurrio",1015.42,57.83,199.92,158.58,50.42,307.25,241.42,14.92,186.08,98.5,646.75,69.17,811,"201101",1094
201101,"2011","01003",16,"País Vasco",1,"Araba/Álava","Aramaio",40.67,0.92,8.5,12,0.83,11.42,7,0,14.92,0.25,24.25,1.25,36,"201111",48
201101,"2011","01004",16,"País Vasco",1,"Araba/Álava","Artziniega",188.58,10.75,46,23,6.33,69.75,32.75,2.67,34.58,14.5,120,16.83,157,"201101",196
201101,"2011","01006",16,"País Vasco",1,"Araba/Álava","Armiñón",15.08,0.67,4.83,0.83,0.25,5.75,2.75,0,3.92,1.75,9.42,0,13,"201107",17
201101,"2011","01008",16,"País Vasco",1,"Araba/Álava","Arratzua-Ubarrundia",60.25,3.42,10.5,13.92,4.33,13.5,14.58,0.83,11.75,7.5,37.58,2.58,52,"201106",66
201101,"2011","01009",16,"País Vasco",1,"Araba/Álava","Asparrena",159.08,4.67,42,27.25,6.42,46.92,31.83,2.75,64.75,8.25,68.92,14.42,144,"201106",181
201101,"2011","01010",16,"País Vasco",1,"Araba/Álava","Ayala/Aiara",196.92,7.33,39.58,29.5,10.33,79.58,30.58,3.5,33.17,17.75,135.58,6.92,167,"201102",212
201101,"2011","01011",16,"País Vasco",1,"Araba/Álava","Baños de Ebro/Mañueta",9.5,0.42,3.25,0.42,0.25,4.5,0.67,2.25,3.67,0.83,2.17,0.58,7,"201101",14
201101,"2011","01013",16,"País Vasco",1,"Araba/Álava","Barrundia",44.17,1.08,10.67,10.75,0,11.5,10.17,0,8.33,3.33,30.58,1.92,36,"201102",49
201101,"2011","01014",16,"País Vasco",1,"Araba/Álava","Berantevilla",17.17,0.42,2.33,3.83,0.42,7.33,2.83,3.33,3.5,0.92,7.83,1.58,13,"201101",21
201101,"2011","01016",16,"País Vasco",1,"Araba/Álava","Bernedo",23,1.33,6.58,8.5,0.42,4.92,1.25,1.75,4.42,3.75,11.33,1.75,19,"201112",29
201101,"2011","01017",16,"País Vasco",1,"Araba/Álava","Campezo/Kanpezu",90.5,5.33,23.25,24.42,0.42,22.83,14.25,4.75,28.58,3.83,49.25,4.08,83,"201101",100
201101,"2011","01018",16,"País Vasco",1,"Araba/Álava","Zigoitia",91.5,4.75,16.33,20.75,2.92,22.17,24.58,0.08,22.67,7,59.42,2.33,82,"201110",101
201101,"2011","01019",16,"País Vasco",1,"Araba/Álava","Kripan",3.42,0,1.08,1.17,0,0.92,0.25,0,1.08,0,2.33,0,1,"201110",5
201101,"2011","01020",16,"País Vasco",1,"Araba/Álava","Kuartango",19.42,0,5.25,7.25,0.25,5,1.67,0,5.33,1.25,12.08,0.75,16,"201110",23
201101,"2011","01021",16,"País Vasco",1,"Araba/Álava","Elburgo/Burgelu",23.25,0.5,6.17,4,1.92,4.17,6.5,0,4.25,2.58,15.58,0.83,17,"201111",29
201101,"2011","01022",16,"País Vasco",1,"Araba/Álava","Elciego",72.75,2.42,22.83,9.67,1.67,24.25,11.92,16.42,14.5,6.58,32.58,2.67,61,"201109",82
201101,"2011","01023",16,"País Vasco",1,"Araba/Álava","Elvillar/Bilar",14.25,0.58,4.83,0,1.25,6.08,1.5,2.5,1.08,0.58,8.17,1.92,7,"201101",18
201101,"2011","01027",16,"País Vasco",1,"Araba/Álava","Iruraiz-Gauna",29.58,1.67,7.42,5.17,1.08,8.42,5.83,0,4.83,2.08,20.92,1.75,19,"201106",35
201101,"2011","01028",16,"País Vasco",1,"Araba/Álava","Labastida/Bastida",119.92,7.75,28.08,18.5,13.5,36.75,15.33,27.58,17.33,12.58,53.42,9,101,"201109",132
201101,"2011","01030",16,"País Vasco",1,"Araba/Álava","Lagrán",4,0.58,1,1.17,0,0.75,0.5,0,0.83,1.17,2,0,3,"201105",6
