"anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","total Dtes Empleo","Dtes Empleo hombre edad < 25","Dtes Empleo hombre edad 25 -45","Dtes Empleo hombre edad >=45","Dtes Empleo mujer edad < 25","Dtes Empleo mujer edad 25 -45","Dtes Empleo mujer edad >=45","Dtes EmpleoAgricultura","Dtes Empleo Industria","Dtes Empleo Construcción","Dtes Empleo Servicios","Dtes Empleo Sin empleo Anterior","total Dtes Empleo_min","Cod min_mes","total Dtes Empleo_max","Cod max_mes"
"2020","01001",16,"País Vasco",1,"Araba/Álava","Alegría-Dulantzi",1645,212.18,447.73,292.73,203.27,291.09,198,18.64,339.18,44.73,1204.64,37.82,383,"01",2282,"07"
"2020","01002",16,"País Vasco",1,"Araba/Álava","Amurrio",2449.82,99.73,589.45,493,83.18,614.64,569.82,52.64,616,134.09,1471.64,175.45,1656,"01",2920,"09"
"2020","01003",16,"País Vasco",1,"Araba/Álava","Aramaio",53.45,2.27,6,19.18,0.91,7.73,17.36,1.18,15.27,3.64,31.27,2.09,35,"01",65,"09"
"2020","01004",16,"País Vasco",1,"Araba/Álava","Artziniega",306.18,9,67.64,66.09,7.36,77.91,78.18,5.36,67.18,17.09,194.64,21.91,212,"02",359,"09"
"2020","01006",16,"País Vasco",1,"Araba/Álava","Armiñón",49.09,0,9.64,15.82,1.27,9.91,12.45,0.73,15.18,1,31.91,0.27,28,"01",62,"09"
"2020","01008",16,"País Vasco",1,"Araba/Álava","Arratzua-Ubarrundia",120.73,7.64,25.45,20.36,9.82,21.73,35.73,2.91,24.36,3.91,81.91,7.64,69,"03",155,"09"
"2020","01009",16,"País Vasco",1,"Araba/Álava","Asparrena",310,9.36,69,86.55,13.45,47.91,83.73,9.64,136.45,5.91,147.64,10.36,205,"02",373,"10"
"2020","01010",16,"País Vasco",1,"Araba/Álava","Ayala/Aiara",480.27,18.55,80.09,126.45,14.82,110.82,129.55,6.18,147.45,19.91,290.18,16.55,303,"01",597,"09"
"2020","01011",16,"País Vasco",1,"Araba/Álava","Baños de Ebro/Mañueta",20.64,2,3.27,3.27,1.09,4.91,6.09,7.09,5.55,1.73,6.27,0,16,"02",24,"11"
"2020","01013",16,"País Vasco",1,"Araba/Álava","Barrundia",86.73,2.73,14.55,29.73,3.36,14.55,21.82,0,20.73,6.91,56.91,2.18,57,"02",108,"09"
"2020","01014",16,"País Vasco",1,"Araba/Álava","Berantevilla",54.45,0.91,7.73,10.55,2.36,12.09,20.82,2.91,14,2,31.18,4.36,37,"02",66,"09"
"2020","01016",16,"País Vasco",1,"Araba/Álava","Bernedo",55.73,3.64,16.55,15.91,1,12.18,6.45,3.45,13.18,4.09,31.91,3.09,37,"02",68,"09"
"2020","01017",16,"País Vasco",1,"Araba/Álava","Campezo/Kanpezu",166.45,3.91,44.36,37.73,4.55,40.82,35.09,8.55,41.09,9.45,99.27,8.09,112,"01",196,"09"
"2020","01018",16,"País Vasco",1,"Araba/Álava","Zigoitia",186.45,5.73,42.73,45.91,10.36,39.18,42.55,2.82,43,6.73,124.64,9.27,106,"01",230,"09"
"2020","01019",16,"País Vasco",1,"Araba/Álava","Kripan",14.27,0,0.91,1.73,1.36,5.18,5.09,0,3.09,0.82,9.82,0.55,10,"02",18,"07"
"2020","01020",16,"País Vasco",1,"Araba/Álava","Kuartango",50.64,2.36,12.36,14.73,1.36,9.91,9.91,4,8.64,4.18,29.64,4.18,35,"01",59,"09"
"2020","01021",16,"País Vasco",1,"Araba/Álava","Elburgo/Burgelu",65.09,3,13.27,13.27,3.82,12.73,19,1.36,13.27,1,49,0.45,36,"02",81,"11"
"2020","01022",16,"País Vasco",1,"Araba/Álava","Elciego",124.09,7,31.45,18.27,4.64,36.82,25.91,38.09,19.91,2.27,58.36,5.45,97,"02",140,"09"
"2020","01023",16,"País Vasco",1,"Araba/Álava","Elvillar/Bilar",35.09,0.27,8.91,2.27,5,8.36,10.27,7,4.09,0.27,21.73,2,23,"02",43,"09"
"2020","01027",16,"País Vasco",1,"Araba/Álava","Iruraiz-Gauna",70.36,3.55,13.64,14.27,2.55,19,17.36,1,10.73,3.82,54.27,0.55,42,"01",87,"09"
"2020","01028",16,"País Vasco",1,"Araba/Álava","Labastida/Bastida",241.18,8.64,48.64,59,11.91,65.91,47.09,48.36,36.55,11.73,130.82,13.73,181,"01",270,"10"
"2020","01030",16,"País Vasco",1,"Araba/Álava","Lagrán",10.45,0,2.55,4.73,0.18,2.82,0.18,0,1.36,2,7.09,0,7,"01",14,"09"
"2020","01031",16,"País Vasco",1,"Araba/Álava","Laguardia",217.45,11.91,49.73,41.73,4.36,58.18,51.55,23.55,40.91,5.73,137.91,9.36,137,"01",264,"09"
"2020","01032",16,"País Vasco",1,"Araba/Álava","Lanciego/Lantziego",101.09,2.55,28.82,19.55,2.82,30.36,17,21.45,12.91,6.09,53.64,7,85,"02",113,"07"
"2020","01033",16,"País Vasco",1,"Araba/Álava","Lapuebla de Labarca",128.91,6,32.45,20.82,7.45,37.18,25,36.82,16.18,4.36,54.82,16.73,97,"02",153,"08"
"2020","01034",16,"País Vasco",1,"Araba/Álava","Leza",26.64,1.45,4.27,7.82,3.36,3,6.73,10.27,2,0.09,12.73,1.55,18,"01",34,"10"
"2020","01036",16,"País Vasco",1,"Araba/Álava","Laudio/Llodio",3951.64,146.91,885.18,866.73,132.64,972.45,947.73,76.64,915.45,165.82,2533.27,260.45,2596,"01",4741,"09"
"2020","01037",16,"País Vasco",1,"Araba/Álava","Arraia-Maeztu",84.55,2.55,17.73,19,1.91,26.18,17.18,3.27,20.91,4.09,54,2.27,55,"02",103,"09"
"2020","01039",16,"País Vasco",1,"Araba/Álava","Moreda de Álava/Moreda Araba",31.09,0.73,6.55,9.27,2.64,3.73,8.18,3.55,6.18,2.45,15.18,3.73,20,"03",38,"09"
