"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Dtes Empleo","Dtes Empleo hombre edad < 25","Dtes Empleo hombre edad 25 -45","Dtes Empleo hombre edad >=45","Dtes Empleo mujer edad < 25","Dtes Empleo mujer edad 25 -45","Dtes Empleo mujer edad >=45","Dtes EmpleoAgricultura","Dtes Empleo Industria","Dtes Empleo Construcción","Dtes Empleo Servicios","Dtes Empleo Sin empleo Anterior"
202301,"2023","16","País Vasco","01","Araba/Álava",0,48864,1708,8480,10057,1594,12664,14179,985,5821,2015,36853,3015
202302,"2023","16","País Vasco","01","Araba/Álava",0,49463,1745,8511,10166,1667,12848,14341,971,5850,2076,37318,3069
202303,"2023","16","País Vasco","01","Araba/Álava",0,49982,1823,8572,10194,1724,12930,14563,947,5885,2100,37673,3188
202304,"2023","16","País Vasco","01","Araba/Álava",0,49896,1755,8491,10198,1690,12883,14696,927,5790,2091,37690,3213
202305,"2023","16","País Vasco","01","Araba/Álava",0,49998,1854,8386,10262,1663,12924,14739,930,5730,2114,37744,3293
202306,"2023","16","País Vasco","01","Araba/Álava",0,50695,2002,8433,10289,1750,13056,14975,919,5771,2142,38393,3283
202307,"2023","16","País Vasco","01","Araba/Álava",0,50666,1964,8413,10294,1750,13015,15034,867,5796,2082,38512,3218
202308,"2023","16","País Vasco","01","Araba/Álava",0,50240,1806,8326,10251,1726,12921,15015,878,5691,2073,38276,3136
202309,"2023","16","País Vasco","01","Araba/Álava",0,51625,1882,8614,10578,1808,13278,15279,952,5982,2120,39114,3271
202310,"2023","16","País Vasco","01","Araba/Álava",0,51753,1903,8729,10619,1796,13272,15250,1004,6112,2128,38979,3329
202311,"2023","16","País Vasco","01","Araba/Álava",0,52815,1939,9006,10843,1815,13474,15560,1019,6263,2165,39816,3352
202312,"2023","16","País Vasco","01","Araba/Álava",0,52485,1816,8913,10932,1713,13330,15606,1011,6201,2130,39696,3250
202301,"2023","08","Castilla - La Mancha","02","Albacete",0,40916,1647,5289,8277,1615,9048,14779,4635,4285,1914,27328,2488
202302,"2023","08","Castilla - La Mancha","02","Albacete",0,40902,1663,5233,8337,1661,8948,14805,4825,4373,1854,27017,2568
202303,"2023","08","Castilla - La Mancha","02","Albacete",0,39182,1541,4903,7888,1576,8441,14565,4483,4273,1773,25796,2570
202304,"2023","08","Castilla - La Mancha","02","Albacete",0,37121,1383,4631,7413,1433,7914,14042,3878,4078,1721,24585,2561
202305,"2023","08","Castilla - La Mancha","02","Albacete",0,35130,1205,4146,7003,1299,7497,13685,3337,3830,1634,23567,2455
202306,"2023","08","Castilla - La Mancha","02","Albacete",0,34947,1254,4089,6906,1347,7364,13673,3335,3608,1639,23536,2538
202307,"2023","08","Castilla - La Mancha","02","Albacete",0,35530,1212,4335,7154,1317,7486,13726,3709,3565,1670,23827,2498
202308,"2023","08","Castilla - La Mancha","02","Albacete",0,36117,1279,4457,7280,1374,7648,13779,3776,3697,1730,24128,2498
202309,"2023","08","Castilla - La Mancha","02","Albacete",0,36517,1360,4498,7389,1415,7771,13796,3645,3764,1703,24639,2501
202310,"2023","08","Castilla - La Mancha","02","Albacete",0,38433,1517,4729,7875,1497,8106,14461,4126,3982,1663,25894,2505
202311,"2023","08","Castilla - La Mancha","02","Albacete",0,38985,1558,4764,7975,1544,8217,14680,3934,4030,1716,26465,2568
202312,"2023","08","Castilla - La Mancha","02","Albacete",0,39236,1548,4996,8181,1443,8092,14729,4045,4254,1816,26308,2557
202301,"2023","10","Comunitat Valenciana","03","Alicante/Alacant",0,216751,7804,29531,50395,7299,45124,76256,10300,29889,15190,147969,13126
202302,"2023","10","Comunitat Valenciana","03","Alicante/Alacant",0,217285,8029,29433,50461,7508,45038,76511,10560,29820,15171,147859,13589
202303,"2023","10","Comunitat Valenciana","03","Alicante/Alacant",0,211342,7796,27899,49353,7270,43262,75461,10253,30148,15149,141458,14049
202304,"2023","10","Comunitat Valenciana","03","Alicante/Alacant",0,205520,7262,26492,48424,6841,41667,74521,9662,29774,15044,136649,14104
202305,"2023","10","Comunitat Valenciana","03","Alicante/Alacant",0,201261,6838,25563,47922,6539,40235,73858,9291,29073,14893,133753,13952
202306,"2023","10","Comunitat Valenciana","03","Alicante/Alacant",0,200688,6388,24873,47675,6026,39882,75522,9823,28434,14798,133553,13776
202307,"2023","10","Comunitat Valenciana","03","Alicante/Alacant",0,202903,6132,25473,48294,5961,40451,76305,9966,29195,15083,134866,13498
202308,"2023","10","Comunitat Valenciana","03","Alicante/Alacant",0,207196,6289,26741,49675,6061,41206,76908,9859,31440,15719,136799,13110
202309,"2023","10","Comunitat Valenciana","03","Alicante/Alacant",0,201336,6922,26043,48885,6492,39066,73612,9239,30247,15225,133158,13203
202310,"2023","10","Comunitat Valenciana","03","Alicante/Alacant",0,203552,7256,26338,48900,6689,39714,74331,8727,29870,15007,136442,13244
202311,"2023","10","Comunitat Valenciana","03","Alicante/Alacant",0,206971,7465,27291,49275,6860,40439,75317,8740,28783,14891,140963,13327
202312,"2023","10","Comunitat Valenciana","03","Alicante/Alacant",0,211074,7424,28393,50331,6678,41345,76583,9277,29837,15287,143251,13162
202301,"2023","01","Andalucía","04","Almería",0,84177,3354,14132,18416,3401,20275,24333,15130,2746,5990,53085,6939
202302,"2023","01","Andalucía","04","Almería",0,85995,3525,14505,18553,3655,20692,24838,16034,2811,5947,53704,7238
202303,"2023","01","Andalucía","04","Almería",0,85519,3543,14391,18459,3656,20510,24677,16504,2776,5853,52728,7401
202304,"2023","01","Andalucía","04","Almería",0,85022,3467,14146,18398,3541,20473,24685,17274,2761,5716,51648,7360
202305,"2023","01","Andalucía","04","Almería",0,88919,3473,15122,19189,3619,21554,25667,20228,2718,5572,52809,7343
202306,"2023","01","Andalucía","04","Almería",0,97738,3590,17564,21180,3553,23540,28036,24426,2822,5582,57479,7210
202307,"2023","01","Andalucía","04","Almería",0,103808,3657,18961,22520,3534,24901,29931,25384,2876,5752,62432,7140
202308,"2023","01","Andalucía","04","Almería",0,103045,3658,18528,22403,3599,24994,29571,24000,2913,5864,63030,7010
202309,"2023","01","Andalucía","04","Almería",0,96069,3853,16540,20597,3794,23339,27693,20230,2945,5769,59554,7346
202310,"2023","01","Andalucía","04","Almería",0,88854,3707,14928,18935,3659,21462,25887,16931,2874,5702,55744,7364
202311,"2023","01","Andalucía","04","Almería",0,85812,3622,14596,18408,3505,20271,25129,15558,2858,5803,53954,7397
202312,"2023","01","Andalucía","04","Almería",0,84562,3427,14587,18681,3245,19597,24763,15547,2852,6002,52760,7154
202301,"2023","07","Castilla y León","05","Ávila",0,14013,417,1671,3571,402,2768,4319,751,1273,879,9404,1101
202302,"2023","07","Castilla y León","05","Ávila",0,14112,432,1658,3563,429,2771,4388,717,1284,848,9527,1147
