"anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcción","Paro Servicios","Paro Sin empleo Anterior","total Paro Registrado_min","Cod min_mes","total Paro Registrado_max","Cod max_mes"
"2014","01001",16,"País Vasco",1,"Araba/Álava","Alegría-Dulantzi",209.5,7.67,48.92,41.08,7.75,69.08,35,6.42,33.33,14.75,133.58,21.42,201,"10",224,"08"
"2014","01002",16,"País Vasco",1,"Araba/Álava","Amurrio",920.17,28.33,207.92,203.92,34.25,232.17,213.58,21.33,186.5,113.33,494.92,104.08,874,"02",970,"04"
"2014","01003",16,"País Vasco",1,"Araba/Álava","Aramaio",29.58,0.25,10.08,8.58,0.42,6.67,3.58,0,13.67,1.08,12.83,2,23,"06",33,"09"
"2014","01004",16,"País Vasco",1,"Araba/Álava","Artziniega",120.08,3.42,25,18.42,3.33,32.92,37,1.67,19.25,3.92,85,10.25,112,"11",131,"01"
"2014","01006",16,"País Vasco",1,"Araba/Álava","Armiñón",14.92,0,3.58,2.58,0.42,4.67,3.67,1,2.17,1.83,9.5,0.42,13,"01",16,"02"
"2014","01008",16,"País Vasco",1,"Araba/Álava","Arratzua-Ubarrundia",45.08,1.92,13.5,8.33,2,10.33,9,1.08,9,2.58,30.83,1.58,37,"12",52,"03"
"2014","01009",16,"País Vasco",1,"Araba/Álava","Asparrena",113.42,3.42,28.5,29.75,4.83,28.33,18.58,4.92,28.17,10.92,57.75,11.67,102,"06",125,"02"
"2014","01010",16,"País Vasco",1,"Araba/Álava","Ayala/Aiara",167.83,7.25,37.08,33.33,3.67,59.08,27.42,2.83,42.08,12.58,103.75,6.58,150,"11",183,"03"
"2014","01011",16,"País Vasco",1,"Araba/Álava","Baños de Ebro/Mañueta",8.83,0.25,2.08,0.92,1.33,2.25,2,4.33,0.17,0,4.08,0.25,5,"09",13,"02"
"2014","01013",16,"País Vasco",1,"Araba/Álava","Barrundia",37,0.33,6,10.42,0.33,12,7.92,2.17,7.17,2.92,24.42,0.33,32,"07",42,"12"
"2014","01014",16,"País Vasco",1,"Araba/Álava","Berantevilla",25.83,0,5.58,3.25,1.5,12.25,3.25,5.5,2.08,2.67,13.75,1.83,21,"05",32,"12"
"2014","01016",16,"País Vasco",1,"Araba/Álava","Bernedo",19.25,1.75,6.33,2.67,0.58,6.92,1,1.58,3.58,1.33,10.33,2.42,16,"03",24,"07"
"2014","01017",16,"País Vasco",1,"Araba/Álava","Campezo/Kanpezu",68.58,2.17,14.08,20.67,0.92,18.67,12.08,6.5,17.33,5.58,34.25,4.92,62,"06",76,"01"
"2014","01018",16,"País Vasco",1,"Araba/Álava","Zigoitia",59.58,2.5,13.92,12,2.33,9.67,19.17,1.58,13.42,4.17,34.92,5.5,48,"12",67,"08"
"2014","01019",16,"País Vasco",1,"Araba/Álava","Kripan",4.58,0,0.08,1.42,0,2,1.08,0.33,1.08,0,2.25,0.92,3,"02",6,"06"
"2014","01020",16,"País Vasco",1,"Araba/Álava","Kuartango",18.17,0.75,5,4.08,0.5,4,3.83,0,3.33,2,10,2.83,13,"08",24,"10"
"2014","01021",16,"País Vasco",1,"Araba/Álava","Elburgo/Burgelu",20.42,1.67,2.58,7.17,0.33,2.83,5.83,1.25,0.67,1.17,15.67,1.67,17,"10",24,"03"
"2014","01022",16,"País Vasco",1,"Araba/Álava","Elciego",64.58,2.25,22.17,9.25,2.58,21.58,6.75,23.83,6.92,2.58,22.5,8.75,57,"05",72,"03"
"2014","01023",16,"País Vasco",1,"Araba/Álava","Elvillar/Bilar",13.83,0.42,4.83,0,0.58,2.17,5.83,6.92,2.42,0.17,4.25,0.08,10,"09",16,"01"
"2014","01027",16,"País Vasco",1,"Araba/Álava","Iruraiz-Gauna",27.33,1.5,6.75,4.83,0.75,7.08,6.42,0.25,3.67,0.67,21.42,1.33,23,"01",31,"04"
"2014","01028",16,"País Vasco",1,"Araba/Álava","Labastida/Bastida",121.25,5.33,26.67,29.17,10.83,33,16.25,36.42,18.83,11.08,45.08,9.83,106,"08",135,"01"
"2014","01030",16,"País Vasco",1,"Araba/Álava","Lagrán",6.58,0.08,0.92,3.92,0,1.67,0,0,0.75,1.08,4.75,0,4,"12",9,"01"
"2014","01031",16,"País Vasco",1,"Araba/Álava","Laguardia",77.08,2.67,16.75,23.33,2.5,17.25,14.58,13.5,13.33,4.17,38.08,8,64,"09",89,"01"
"2014","01032",16,"País Vasco",1,"Araba/Álava","Lanciego/Lantziego",49.67,1.42,12.33,10.42,2.75,15.83,6.92,11.42,6.17,6.08,19.08,6.92,36,"09",60,"12"
