"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcción","Paro Servicios","Paro Sin empleo Anterior"
202301,"2023","16","País Vasco","01","Araba/Álava",0,19847,731,2971,4165,668,5165,5917,514,1895,868,13976,2386
202302,"2023","16","País Vasco","01","Araba/Álava",0,19650,755,2941,4176,674,5063,5832,502,1843,882,13842,2382
202303,"2023","16","País Vasco","01","Araba/Álava",0,19348,759,2872,4079,666,4946,5813,494,1812,891,13484,2478
202304,"2023","16","País Vasco","01","Araba/Álava",0,19044,699,2818,4046,565,4884,5825,464,1778,870,13269,2440
202305,"2023","16","País Vasco","01","Araba/Álava",0,18974,734,2710,4019,555,4887,5857,458,1784,863,13206,2482
202306,"2023","16","País Vasco","01","Araba/Álava",0,18534,695,2597,3976,533,4745,5774,456,1701,841,12864,2471
202307,"2023","16","País Vasco","01","Araba/Álava",0,18458,679,2568,3976,557,4755,5703,439,1724,828,12871,2424
202308,"2023","16","País Vasco","01","Araba/Álava",0,19018,715,2738,4040,614,4926,5761,428,1802,859,13359,2399
202309,"2023","16","País Vasco","01","Araba/Álava",0,18915,763,2550,4056,682,4882,5750,390,1739,834,13260,2517
202310,"2023","16","País Vasco","01","Araba/Álava",0,19362,789,2697,4111,673,4985,5883,506,1735,831,13573,2529
202311,"2023","16","País Vasco","01","Araba/Álava",0,18905,776,2613,4123,638,4762,5754,500,1692,837,13148,2529
202312,"2023","16","País Vasco","01","Araba/Álava",0,19044,757,2799,4170,584,4772,5725,486,1714,858,13329,2467
202301,"2023","08","Castilla - La Mancha","02","Albacete",0,28059,928,3234,5338,968,6442,10835,1894,2923,1377,19695,1908
202302,"2023","08","Castilla - La Mancha","02","Albacete",0,27836,911,3172,5331,994,6338,10768,1930,2887,1338,19433,1977
202303,"2023","08","Castilla - La Mancha","02","Albacete",0,26721,862,2971,5021,975,6022,10541,1808,2799,1283,18560,2005
202304,"2023","08","Castilla - La Mancha","02","Albacete",0,25615,787,2863,4780,888,5733,10206,1686,2682,1232,17744,1975
