"anio","Cod CA","Cod provincia","poblacion_hombres","poblacion_mujeres","poblacion_total"
2010,"01","04",338681,239096,653854
2010,"01","11",612833,623906,1236739
2010,"01","14",380918,387677,773005
2010,"01","18",447065,406405,861417
2010,"01","21",249418,239125,345965
2010,"01","23",311543,325531,541854
2010,"01","29",793575,815982,1609557
2010,"01","41",940416,976681,1917097
2010,"02","22",114805,96652,202475
2010,"02","44",74563,67312,142190
2010,"02","50",468509,166172,958357
2010,"03","33",520402,563939,1084341
2010,"04","07",555204,550845,1106049
2010,"05","35",548699,541906,1090605
2010,"05","38",510007,517907,1027914
2010,"06","39",272768,279387,576167
2010,"07","05",81886,81658,165191
2010,"07","09",184171,185372,371586
2010,"07","24",218072,244429,478179
2010,"07","34",85543,86967,171142
2010,"07","37",172934,163846,349605
2010,"07","40",81036,81234,153261
2010,"07","42",46852,46858,93611
2010,"07","47",260377,271499,498855
2010,"07","49",95149,97787,172218
2010,"08","02",200325,190881,387300
2010,"08","13",250517,256742,413173
2010,"08","16",102761,106198,206484
2010,"08","19",125246,122393,237316
2010,"08","45",327560,320422,655281
2010,"09","08",2710304,2800843,5511147
2010,"09","17",335143,343419,654280
2010,"09","25",158634,212896,412048
2010,"09","43",394803,384025,796567
2010,"10","03",961733,964552,1926285
2010,"10","12",296695,286699,415778
2010,"10","46",1277726,1303421,2581147
2010,"11","06",308002,337803,652951
2010,"11","10",205404,184245,394851
2010,"12","15",551318,595140,1146458
2010,"12","27",164855,176814,326774
2010,"12","32",159429,168455,318389
2010,"12","36",453867,468456,920217
2010,"13","28",3124438,3334246,6458684
2010,"14","30",738627,723352,1461979
2010,"15","31",274890,307782,614154
2010,"16","01",156099,159030,290217
2010,"16","20",299201,338330,647080
2010,"16","48",559359,594365,1153724
2010,"17","26",156115,156166,171926
2010,"18","51",41269,3931,80579
2011,"01","04",343144,332207,671562
2011,"01","11",615865,627654,1243519
2011,"01","14",390692,405625,710169
2011,"01","18",417691,326931,875761
2011,"01","21",225576,257143,504517
2011,"01","23",325635,327613,578890
2011,"01","29",801126,824701,1625827
2011,"01","41",945766,983196,1928962
2011,"02","22",115189,101049,224059
2011,"02","44",71911,69510,126886
2011,"02","50",455125,174634,962615
2011,"03","33",518571,562916,1081487
2011,"04","07",557577,555537,1113114
2011,"05","35",551241,545739,1096980
2011,"05","38",510350,519439,1029789
2011,"06","39",281700,267294,582339
2011,"07","05",84394,80768,167367
2011,"07","09",173695,186005,332853
2011,"07","24",241489,180350,474939
2011,"07","34",85118,83805,171668
2011,"07","37",108918,180402,344031
2011,"07","40",81185,77224,114471
2011,"07","42",48347,46876,95223
2011,"07","47",260431,268296,524731
2011,"07","49",94679,97390,191916
2011,"08","02",183283,198002,244809
2011,"08","13",262710,266097,464637
2011,"08","16",107677,105566,211344
2011,"08","19",129858,123606,251961
2011,"08","45",330321,327304,659587
2011,"09","08",2715628,2813471,5529099
2011,"09","17",361495,341909,726687
2011,"09","25",224209,203528,402663
2011,"09","43",385135,338246,788217
2011,"10","03",964560,969567,1934127
2011,"10","12",299075,295783,592590
2011,"10","46",1274365,1304354,2578719
2011,"11","06",338936,330955,647121
2011,"11","10",201533,202807,387762
2011,"12","15",551476,595648,1147124
2011,"12","27",158794,172027,329201
2011,"12","32",143038,103882,328469
2011,"12","36",456521,466949,861244
2011,"13","28",3132844,3356836,6489680
2011,"14","30",741581,728488,1470069
2011,"15","31",287527,200624,609336
2011,"16","01",154514,158602,315312
2011,"16","20",338851,343468,676424
2011,"16","48",560178,595594,1155772
2011,"17","26",161582,161373,322955
2011,"18","51",42165,40211,82376
2012,"01","04",310938,333134,675293
2012,"01","11",616686,628478,1245164
2012,"01","14",381989,385348,776400
2012,"01","18",440412,439388,866615
2012,"01","21",243674,239264,488635
2012,"01","23",311573,320023,563709
2012,"01","29",808527,832571,1641098
2012,"01","41",950413,988561,1938974
2012,"02","22",86118,112097,224243
2012,"02","44",52013,70250,141289
2012,"02","50",481234,486420,946360
2012,"03","33",516420,560940,1077360
2012,"04","07",560091,559348,1119439
2012,"05","35",552185,548628,1100813
2012,"05","38",504055,513476,1017531
2012,"06","39",282637,274054,578282
2012,"07","05",84022,82302,169978
2012,"07","09",186208,169313,331311
2012,"07","24",233172,247293,344835
2012,"07","34",79149,83167,169741
2012,"07","37",166908,171461,324500
2012,"07","40",82695,76686,161127
2012,"07","42",46296,26653,92857
2012,"07","47",255461,270584,508450
2012,"07","49",67398,95279,186446
2012,"08","02",108436,197201,379248
2012,"08","13",238336,251225,503529
2012,"08","16",76098,102950,196427
2012,"08","19",127762,122658,239062
2012,"08","45",322654,292427,646716
2012,"09","08",2722394,2829656,5552050
2012,"09","17",350308,348238,729956
2012,"09","25",212304,208102,413872
2012,"09","43",320452,396070,778811
2012,"10","03",969237,974673,1943910
2012,"10","12",221999,297389,602575
2012,"10","46",1274240,1306552,2580792
2012,"11","06",323045,338152,538221
2012,"11","10",198812,206712,383294
2012,"12","15",550009,593902,1143911
2012,"12","27",148575,170816,341279
2012,"12","32",143857,169921,322994
2012,"12","36",456625,454427,910224
2012,"13","28",3130241,3368319,6498560
2012,"14","30",742727,731722,1474449
2012,"15","31",304614,316606,616837
2012,"16","01",160649,42937,321342
2012,"16","20",292126,337603,659339
2012,"16","48",561134,597305,1158439
2012,"17","26",144474,155663,309452
2012,"18","51",42948,4107,84018
2013,"01","04",268376,288960,674120
2013,"01","11",612770,625722,1238492
2013,"01","14",378682,389738,768573
2013,"01","18",404539,448774,890051
2013,"01","21",256389,244587,490806
2013,"01","23",294244,276865,597236
2013,"01","29",813878,839121,1652999
2013,"01","41",951597,990558,1942155
2013,"02","22",90058,103925,188115
2013,"02","44",59515,66000,137692
2013,"02","50",153007,485899,965984
2013,"03","33",511346,556819,1068165
2013,"04","07",554603,557071,1111674
2013,"05","35",553010,550840,1103850
2013,"05","38",502292,512537,1014829
2013,"06","39",284620,287180,558930
2013,"07","05",82460,82585,157764
2013,"07","09",166964,99407,359512
2013,"07","24",207886,216679,473120
2013,"07","34",82562,83846,160495
2013,"07","37",166232,170802,331661
2013,"07","40",77962,78547,160793
2013,"07","42",47336,45955,90447
2013,"07","47",249882,266472,496779
2013,"07","49",65841,90587,187163
2013,"08","02",180945,198677,385553
2013,"08","13",245876,218813,431047
2013,"08","16",102692,104788,206508
2013,"08","19",101952,125927,244466
2013,"08","45",325091,296374,676788
2013,"09","08",2711403,2829522,5540925
2013,"09","17",323681,352253,664918
2013,"09","25",214572,209342,408848
2013,"09","43",375645,367933,688705
2013,"10","03",968927,976715,1945642
2013,"10","12",292532,291698,551992
2013,"10","46",1264620,1301854,2566474
2013,"11","06",288928,321155,671661
2013,"11","10",200032,205041,383212
2013,"12","15",547079,591082,1138161
2013,"12","27",157663,165860,313668
2013,"12","32",140136,160920,282003
2013,"12","36",436271,330121,927366
2013,"13","28",3123724,3371827,6495551
2013,"14","30",739842,732207,1472049
2013,"15","31",297110,299019,588974
2013,"16","01",157354,161795,297819
2013,"16","20",324369,338374,486010
2013,"16","48",559573,596874,1156447
2013,"17","26",155119,150168,312919
2013,"18","51",4306,4112,8418
2014,"01","04",342479,242524,697890
2014,"01","11",613340,626835,1240175
2014,"01","14",370423,386670,775849
2014,"01","18",427658,420067,604491
2014,"01","21",175669,243435,471574
2014,"01","23",293283,327509,569501
2014,"01","29",797639,824329,1621968
2014,"01","41",950883,990472,1941355
2014,"02","22",112814,94059,224909
2014,"02","44",70270,59322,136837
2014,"02","50",467607,485880,936900
2014,"03","33",507927,553829,1061756
2014,"04","07",549801,553641,1103442
2014,"05","35",550166,549861,1100027
2014,"05","38",496207,508581,1004788
2014,"06","39",277449,292532,531362
2014,"07","05",58573,80020,160256
2014,"07","09",181965,183018,361509
2014,"07","24",230534,219123,478178
2014,"07","34",81080,83604,152822
2014,"07","37",161706,174147,338958
2014,"07","40",80316,77691,111369
2014,"07","42",46723,41826,92221
2014,"07","47",114847,106168,253010
2014,"07","49",91871,62790,182795
2014,"08","02",197087,186121,385800
2014,"08","13",237434,224201,380095
2014,"08","16",80574,101702,202148
2014,"08","19",128991,125229,171510
2014,"08","45",335336,327161,650356
2014,"09","08",2699040,2824744,5523784
2014,"09","17",370238,337075,691122
2014,"09","25",214853,208262,428731
2014,"09","43",378909,378223,756331
2014,"10","03",928519,939919,1868438
2014,"10","12",291895,262772,570453
2014,"10","46",1253758,1295140,2548898
2014,"11","06",313260,341057,675953
2014,"11","10",202962,199621,399361
2014,"12","15",544075,588660,1132735
2014,"12","27",158270,173750,230149
2014,"12","32",151814,165952,285708
2014,"12","36",457305,469080,935799
2014,"13","28",3099641,3354799,6454440
2014,"14","30",735889,730929,1466818
2014,"15","31",310755,306050,626840
2014,"16","01",159583,160126,321932
2014,"16","20",342058,344335,575360
2014,"16","48",556772,595133,1151905
2014,"17","26",156209,133714,309804
2014,"18","51",43354,41609,84963
2015,"01","04",353250,326190,646788
2015,"01","11",613094,627190,1240284
2015,"01","14",383944,378556,744365
2015,"01","18",311561,315432,650465
2015,"01","21",241652,259294,502683
2015,"01","23",298895,323235,599990
2015,"01","29",800767,828206,1628973
2015,"01","41",950587,990893,1941480
2015,"02","22",112626,110283,188178
2015,"02","44",68643,65798,89495
2015,"02","50",454939,480979,909278
2015,"03","33",502175,549054,1051229
2015,"04","07",549678,554801,1104479
2015,"05","35",548849,549557,1098406
2015,"05","38",494354,507546,1001900
2015,"06","39",280270,281851,519749
2015,"07","05",82880,82045,157671
2015,"07","09",178488,181860,157695
2015,"07","24",160278,241366,472528
2015,"07","34",82232,83803,160302
2015,"07","37",157333,102394,316220
2015,"07","40",79355,74066,153223
2015,"07","42",43701,42382,88243
2015,"07","47",251824,263088,504031
2015,"07","49",90888,92548,163204
2015,"08","02",197014,191554,391196
2015,"08","13",200373,234689,489206
2015,"08","16",102583,99890,201177
2015,"08","19",111654,113916,245883
2015,"08","45",342884,321066,585398
2015,"09","08",2696360,2827562,5523922
2015,"09","17",360394,329462,705354
2015,"09","25",216732,151194,407301
2015,"09","43",319952,369039,767759
2015,"10","03",920920,934127,1855047
2015,"10","12",275878,278783,506880
2015,"10","46",1250165,1293150,2543315
2015,"11","06",326246,315061,644808
2015,"11","10",193359,144769,371887
2015,"12","15",541292,585904,1127196
2015,"12","27",107122,163225,315473
2015,"12","32",153043,163116,300625
2015,"12","36",445748,331472,888046
2015,"13","28",3087022,3349974,6436996
2015,"14","30",735434,731854,1467288
2015,"15","31",298625,301792,596079
2015,"16","01",160294,162049,299888
2015,"16","20",321837,349034,661925
2015,"16","48",554832,593943,1148775
2015,"17","26",152710,148458,314137
2015,"18","51",42757,41506,84263
2016,"01","04",267575,312063,668900
2016,"01","11",612858,627031,1239889
2016,"01","14",372108,386976,767796
2016,"01","18",436721,444588,888590
2016,"01","21",232785,172295,517562
2016,"01","23",291198,296563,591145
2016,"01","29",800630,828668,1629298
2016,"01","41",949432,990343,1939775
2016,"02","22",107205,106701,218667
2016,"02","44",69504,65304,136977
2016,"02","50",461173,470074,930932
2016,"03","33",497852,544756,1042608
2016,"04","07",550682,556538,1107220
2016,"05","35",547928,549872,1097800
2016,"05","38",494910,509214,1004124
2016,"06","39",275086,295816,574952
2016,"07","05",50859,76681,156826
2016,"07","09",175513,180577,360995
2016,"07","24",220233,234471,421719
2016,"07","34",39741,83035,162709
2016,"07","37",152462,172372,324807
2016,"07","40",76975,75743,153465
2016,"07","42",42940,43374,90040
2016,"07","47",240471,264821,521357
2016,"07","49",81338,91085,176455
2016,"08","02",191791,114692,357711
2016,"08","13",236591,251082,485567
2016,"08","16",98388,93791,175970
2016,"08","19",125322,109254,244305
2016,"08","45",305902,321570,652546
2016,"09","08",2704771,2837909,5542680
2016,"09","17",368006,353215,608919
2016,"09","25",209405,137066,390013
2016,"09","43",377395,376024,750017
2016,"10","03",911173,925286,1836459
2016,"10","12",263880,285539,388985
2016,"10","46",1249773,1294491,2544264
2016,"11","06",317408,330345,660065
2016,"11","10",174248,193048,394701
2016,"12","15",538878,583921,1122799
2016,"12","27",150473,157380,319220
2016,"12","32",144116,160594,304458
2016,"12","36",418877,475753,912693
2016,"13","28",3098631,3368365,6466996
2016,"14","30",733555,731292,1464847
2016,"15","31",310271,307804,412938
2016,"16","01",156145,163886,307512
2016,"16","20",338344,358545,648262
2016,"16","48",554342,593234,1147576
2016,"17","26",155969,87159,305678
2016,"18","51",42846,41673,84519
2017,"01","04",305082,328222,692218
2017,"01","11",612191,627244,1239435
2017,"01","14",364317,389891,755891
2017,"01","18",445429,452119,586751
2017,"01","21",144951,244316,491552
2017,"01","23",302518,224326,611048
2017,"01","29",800551,830064,1630615
2017,"01","41",948817,990710,1939527
2017,"02","22",101251,107912,215085
2017,"02","44",61565,65564,132043
2017,"02","50",460570,483943,935081
2017,"03","33",493911,541049,1034960
2017,"04","07",554925,561074,1115999
2017,"05","35",548716,551764,1100480
2017,"05","38",496397,511244,1007641
2017,"06","39",258363,191198,547724
2017,"07","05",79720,79063,156668
2017,"07","09",175679,179252,351997
2017,"07","24",220184,229160,445546
2017,"07","34",79917,79612,161239
2017,"07","37",157620,171330,325503
2017,"07","40",75049,75355,150827
2017,"07","42",44986,43917,88903
2017,"07","47",244174,255590,507855
2017,"07","49",83866,89596,174749
2017,"08","02",193087,178873,371735
2017,"08","13",207999,241533,479502
2017,"08","16",99821,92957,196504
2017,"08","19",118792,85630,245084
2017,"08","45",332226,322251,623985
2017,"09","08",2718621,2857416,5576037
2017,"09","17",364781,331553,736042
2017,"09","25",198494,194146,412485
2017,"09","43",390666,387644,771326
2017,"10","03",904711,920621,1825332
2017,"10","12",255920,274316,560368
2017,"10","46",1246025,1294682,2540707
2017,"11","06",320528,254227,630960
2017,"11","10",193157,192884,357142
2017,"12","15",537311,582983,1120294
2017,"12","27",157617,155542,303862
2017,"12","32",137692,159948,300187
2017,"12","36",430237,462121,845783
2017,"13","28",3115522,3391662,6507184
2017,"14","30",736238,734035,1470273
2017,"15","31",308456,214538,614470
2017,"16","01",42059,160549,321192
2017,"16","20",242857,273160,526970
2017,"16","48",554289,594013,1148302
2017,"17","26",151215,151980,309288
2017,"18","51",43034,41925,84959
2018,"01","04",359852,325395,626099
2018,"01","11",611357,627357,1238714
2018,"01","14",367310,366639,728261
2018,"01","18",422687,449347,888000
2018,"01","21",244960,248107,492959
2018,"01","23",288063,304757,596159
2018,"01","29",804858,836263,1641121
2018,"01","41",948699,991188,1939887
2018,"02","22",109564,79595,218301
2018,"02","44",68060,57836,131899
2018,"02","50",455742,476848,352450
2018,"03","33",490738,537506,1028244
2018,"04","07",561803,567105,1128908
2018,"05","35",552555,556620,1109175
2018,"05","38",501477,517033,1018510
2018,"06","39",266804,295857,531386
2018,"07","05",77657,69609,157202
2018,"07","09",178337,178733,353245
2018,"07","24",220057,233006,425775
2018,"07","34",77299,76285,160298
2018,"07","37",161065,92495,324534
2018,"07","40",73622,72952,150831
2018,"07","42",43378,41604,84343
2018,"07","47",251070,261086,500933
2018,"07","49",86319,88230,174549
2018,"08","02",194158,184917,226840
2018,"08","13",224894,248457,457673
2018,"08","16",97982,96162,174848
2018,"08","19",113059,121386,157936
2018,"08","45",333022,283926,672775
2018,"09","08",2733466,2875884,5609350
2018,"09","17",323000,367118,642157
2018,"09","25",150479,210108,392492
2018,"09","43",337531,380044,746708
2018,"10","03",911097,927722,1838819
2018,"10","12",281265,275608,512026
2018,"10","46",1248927,1299059,2547986
2018,"11","06",323998,314884,478241
2018,"11","10",193262,179366,367363
2018,"12","15",536637,582714,1119351
2018,"12","27",160647,161275,303382
2018,"12","32",144700,153541,294830
2018,"12","36",304140,465165,886665
2018,"13","28",3147872,3430207,6578079
2018,"14","30",740143,738366,1478509
2018,"15","31",301920,311452,625000
2018,"16","01",162175,162958,327932
2018,"16","20",332850,343291,696751
2018,"16","48",554879,594749,1149628
2018,"17","26",89599,156587,305730
2018,"18","51",43177,41967,85144
2019,"01","04",312556,305930,613473
2019,"01","11",611791,628364,1240155
2019,"01","14",374772,358887,766149
2019,"01","18",419388,442811,801143
2019,"01","21",258413,184455,477428
2019,"01","23",256089,297357,621351
2019,"01","29",814349,847436,1661785
2019,"01","41",949212,993177,1942389
